YearsExperience,Salary
17.8,130791.34
5.3,48804.87
5.0,62079.12
12.6,102904.83
8.8,63441.47
17.0,114205.73
18.1,127284.89
7.7,69943.12
5.5,50574.18
15.8,120011.83
6.2,66111.79
16.6,119745.85
9.1,74003.67
13.7,113739.66
2.8,58643.26
12.9,97081.51
9.6,77902.66
12.1,100479.66
4.2,50235.76
15.0,111384.82
17.4,131617.23
5.1,42775.15
2.8,55946.42
1.4,38281.44
13.2,99308.05
12.5,98036.13
11.4,92399.43
5.4,45850.39
8.4,88159.51
12.3,97980.61
10.4,90744.02
19.8,146512.4
3.6,41630.7
14.2,111887.78
8.7,75708.87
9.1,86824.17
14.6,93282.18
14.2,107307.25
19.8,134077.43
3.4,52158.1
3.0,50260.35
14.8,105738.99
12.0,90302.61
6.2,63214.68
2.5,36576.86
2.6,51035.87
18.0,126046.34
4.6,32044.09
7.1,66051.42
5.3,50841.65
7.7,59299.79
2.3,32750.59
10.9,90825.27
2.3,53279.13
16.2,121605.48
5.4,54847.97
11.3,95797.23
17.7,123677.28
13.4,98143.2
11.1,81815.1
7.2,55585.37
7.3,67030.61
13.7,106614.43
19.9,138677.01
13.6,101472.26
11.6,86234.03
14.9,116815.97
9.8,73362.94
2.1,47758.22
11.7,86332.26
19.2,129580.52
4.3,41915.72
14.1,103538.78
4.8,64202.5
11.2,95725.02
2.8,53227.38
9.6,86977.14
15.4,105870.64
7.6,69153.69
13.6,98558.41
16.1,129194.6
18.6,122725.69
5.5,67399.58
8.6,84443.63
3.9,66086.96
19.9,136172.51
18.6,137998.58
11.3,110403.21
17.0,118558.87
10.9,77669.68
12.8,85359.92
2.7,50551.7
15.4,99634.8
3.4,45721.45
16.7,125348.51
15.9,118931.4
14.5,113153.56
1.7,41128.32
6.8,77630.93
6.0,55381.47
7.8,67484.04
2.7,38668.72
18.8,140041.53
11.5,100453.19
6.8,71009.8
8.5,86217.95
9.5,72825.67
12.4,111537.79
10.8,101585.91
18.5,137634.98
10.4,101454.39
19.9,126197.01
17.2,120404.41
5.0,51617.57
18.7,138621.83
3.2,39198.87
16.5,126809.96
8.2,86064.29
17.7,132911.62
17.5,128520.01
16.3,111747.01
16.0,111225.19
6.8,77396.95
2.5,49984.79
8.7,77537.84
4.3,50306.72
14.2,91893.54
7.6,63233.18
19.5,152541.35
13.2,92356.36
16.6,122815.84
3.5,57309.55
17.4,115660.62
18.5,133227.68
10.3,94153.32
12.5,98849.99
15.5,138197.22
4.3,40301.21
10.5,96219.83
8.6,75917.59
3.8,57075.36
8.0,77530.46
2.3,36784.75
1.5,40081.97
3.6,34936.79
19.3,140975.98
11.4,95085.27
19.4,141809.28
9.2,89064.95
6.9,70890.96
10.6,89484.72
9.4,74651.45
3.0,40802.23
13.2,112093.88
5.1,69540.68
12.8,98495.12
13.4,104068.02
3.9,44213.09
2.2,51482.05
15.8,122223.33
9.7,98879.74
2.1,34523.42
19.9,136425.94
2.1,43401.57
14.2,113271.92
19.7,136624.66
5.5,53266.31
3.7,57401.26
3.3,53919.08
6.8,60069.81
2.9,56793.54
14.2,117461.59
2.2,43174.37
10.7,89486.78
19.9,143882.46
16.5,113856.38
12.7,100090.25
6.8,50180.93
12.9,107961.65
11.0,78008.05
9.1,92077.36
3.5,46609.04
17.8,126206.66
9.5,77228.13
4.7,53545.69
8.0,85348.25
8.9,59047.53
16.7,132065.72
14.9,114654.19
15.6,106143.83
1.2,27997.5
8.9,92361.14
10.1,77985.94
1.4,28473.2
5.9,71548.52
15.4,117408.42
3.6,42296.6
11.2,93333.0
5.1,49843.98
1.2,45406.57
5.6,69290.97
19.5,141506.05
16.2,121993.29
19.2,149689.5
10.3,86647.49
3.1,37595.01
11.4,96295.79
9.6,99488.38
17.0,115381.92
2.9,43058.3
10.3,89981.57
3.9,51018.76
7.2,61741.57
15.0,121474.86
10.0,103560.33
8.1,76119.05
8.5,69517.45
9.7,70958.32
15.9,119513.81
17.9,137281.02
19.2,139401.34
16.0,117980.77
7.0,63785.83
14.1,98812.69
9.3,87828.01
5.8,69210.17
17.0,111134.16
1.7,52068.71
18.1,134142.57
9.8,95096.76
13.1,91312.98
13.5,93323.41
18.0,127808.25
13.1,106072.28
12.7,114220.89
2.3,48298.63
10.8,87458.55
3.9,43239.05
15.0,122340.0
10.7,81132.36
13.9,119477.75
1.8,37624.92
2.6,57024.66
14.6,115731.45
2.4,42104.04
2.4,39044.83
1.2,33872.74
19.2,139026.53
15.0,113117.25
7.7,67599.51
6.6,64974.95
7.6,72428.62
15.7,99320.13
13.6,108465.34
4.5,46912.23
4.3,44423.34
2.9,32451.25
13.5,89898.86
15.5,104406.42
6.0,57327.83
1.4,53326.07
2.6,40092.96
19.4,138122.0
6.6,69503.85
15.6,116848.52
12.9,100330.45
8.3,66087.65
4.9,68557.42
3.3,62607.57
12.7,86388.73
15.7,108157.77
13.2,100361.52
11.1,83333.7
1.8,43947.72
19.4,130873.82
16.2,136420.45
6.6,75824.39
19.6,139500.59
12.4,106415.89
12.1,105397.2
15.2,109088.42
16.4,113670.26
13.5,104875.14
3.4,55593.09
7.4,71812.48
18.6,119684.03
5.3,52727.4
8.1,73958.22
9.2,79994.68
9.3,96930.34
12.6,88212.1
18.9,137994.71
5.6,72712.9
3.3,66321.6
4.8,53164.82
17.9,132381.44
13.3,107708.08
6.4,66763.85
16.5,119959.24
17.4,129187.8
17.1,103792.03
18.5,137206.56
5.8,62909.42
15.3,112370.2
9.8,100274.9
17.0,118100.53
14.8,108175.39
15.8,132832.43
13.5,97593.51
4.4,49799.08
11.4,91523.8
19.7,145075.88
18.8,135062.42
1.8,29559.0
4.1,48292.65
3.5,44391.16
14.8,110782.23
16.5,124156.75
5.1,61395.65
10.6,74091.91
17.0,132011.53
14.9,113970.55
11.3,103226.26
12.2,100653.59
10.7,97660.58
6.7,70582.36
11.7,105119.81
14.1,111728.01
17.6,126016.68
13.1,120229.48
15.5,122362.3
4.0,56589.96
9.8,73689.56
1.2,26293.54
5.7,63691.72
14.8,112564.17
19.8,133987.02
2.9,47077.86
8.6,90009.02
16.2,124663.22
4.9,47821.93
11.5,92357.93
14.9,105510.27
12.7,96748.4
4.6,51991.07
7.8,69078.84
15.9,107408.92
11.5,92228.76
1.1,31565.14
15.5,91814.41
1.7,55773.78
15.2,122310.16
4.8,53389.59
19.2,135750.55
8.0,64626.77
7.2,83165.78
3.8,66078.31
6.8,68653.55
17.7,135538.25
19.9,140852.29
8.0,63306.2
9.5,78955.41
14.7,111905.42
17.8,124263.62
12.3,95900.77
8.4,75468.8
8.8,77752.97
14.2,108518.07
1.1,27565.16
12.8,94663.87
7.8,62623.33
16.1,126372.52
2.8,28554.82
12.2,106328.72
10.1,96640.8
13.2,100182.56
2.2,21274.9
12.0,93109.52
11.7,93836.53
11.7,86265.21
12.5,94628.25
13.9,118691.56
16.3,124969.42
6.1,56153.49
16.7,109069.21
10.5,85133.86
2.5,42042.35
2.1,45519.59
7.4,66417.47
15.9,121542.0
14.4,124681.23
16.0,124524.01
10.8,89015.29
9.4,80234.8
3.8,48046.61
7.2,79045.13
9.2,75581.49
2.7,45211.78
5.2,59009.58
12.4,94185.73
15.0,101520.28
20.0,142583.8
18.7,132361.97
13.2,106601.92
9.0,75231.2
13.1,111816.57
15.9,110435.81
3.2,61296.32
8.8,64418.91
17.0,126978.16
8.3,79453.45
11.9,89085.54
12.2,100495.15
4.5,64986.15
7.9,55715.45
7.4,74721.96
1.5,18303.83
1.5,30524.68
16.8,135433.33
6.2,59445.74
10.8,80008.96
6.7,65266.5
18.9,150493.25
5.9,47796.54
9.2,72189.52
17.6,138779.45
17.0,138361.62
4.5,53922.55
16.3,109737.58
9.7,100116.75
10.2,98855.54
3.5,54681.58
2.5,37250.78
14.8,111007.77
10.4,85917.12
9.3,83796.81
14.9,123558.01
15.5,122285.34
4.0,43380.99
12.6,110311.97
3.6,52305.06
15.3,119646.53
13.5,115982.33
19.2,126707.36
2.3,42363.4
2.1,37298.36
6.4,52657.12
